GO.Term	GO.ID	TAD	P.value	P.adjust
antigen processing and presentation of exogenous peptide antigen 	0002478	TAD1174|TAD2266|TAD557|TAD2176|TAD502|TAD2142|TAD837|TAD1133|TAD2608|TAD2774	2.85804159738936e-11|0.172207282123851|0.10232807657405|0.188818579507396|0.0266157809072958|0.0715169403449626|0.0525302722811367|0.0777617646957142|0.10232807657405|0.0525302722811367	5.47791306166293e-10|0.202079973920846|0.126082808635883|0.219334713569197|0.0415970560886454|0.0956331179031476|0.0724917757479687|0.102006877642667|0.126082808635883|0.0724917757479687
antigen processing and presentation of exogenous peptide antigen via MHC class II 	0019886	TAD1174|TAD2266|TAD557|TAD2176|TAD502|TAD2142|TAD837|TAD1133|TAD2608|TAD2774	2.85804159738936e-11|0.172207282123851|0.10232807657405|0.188818579507396|0.0266157809072958|0.0715169403449626|0.0525302722811367|0.0777617646957142|0.10232807657405|0.0525302722811367	5.47791306166293e-10|0.202079973920846|0.126082808635883|0.219334713569197|0.0415970560886454|0.0956331179031476|0.0724917757479687|0.102006877642667|0.126082808635883|0.0724917757479687
antigen processing and presentation of peptide antigen via MHC class II 	0002495	TAD1174|TAD2266|TAD557|TAD2176|TAD502|TAD2142|TAD837|TAD1133|TAD2608|TAD2774	3.10746930907055e-11|0.173824064775953|0.103329942560016|0.190572668795571|0.0268873724862838|0.0722293645676334|0.0530589942274085|0.0785337275042834|0.103329942560016|0.0530589942274085	5.64251006120705e-10|0.203285770670182|0.126414291429807|0.220148128390145|0.0415970560886454|0.0962128601383534|0.0726402897160949|0.102629302988552|0.126414291429807|0.0726402897160949
B cell homeostasis 	0001782	TAD1033|TAD1545|TAD505|TAD506|TAD2656	0.00124679630613711|0.00186967613658851|0.00124679630613711|0.00559970915698071|0.00311439999025021	0.00661761116334312|0.00871673333950046|0.00661761116334312|0.0143103678456174|0.0107446799663632
base conversion or substitution editing 	0016553	TAD3071	4.21490955503486e-17	1.61571532943003e-15
bile acid and bile salt transport 	0015721	TAD2797|TAD2415|TAD2142|TAD2143	0.0124089306058701|0.0266979314693152|4.95363034354354e-09|0.0287228317505852	0.0231409786974335|0.0415970560886454|7.76819303873873e-08|0.043462179622596
carbohydrate derivative catabolic process 	1901136	TAD28|TAD548|TAD837|TAD2140	0.011376834640396|0.00532391777899266|0.00608237035797732|0.00228484299174292	0.0218418572783624|0.0141003732402629|0.0149886983821587|0.00966148559612384
cellular response to bacterial lipopeptide 	0071221	TAD1083|TAD767	0.00869980154295924|1.72383432584391e-05	0.0186424318777705|0.000148680710604037
choline catabolic process 	0042426	TAD1743|TAD566|TAD1785	0.00332168144298328|0.0024921243547612|0.00166199196430317	0.0111267906262704|0.00966148559612384|0.00807615614959311
cytidine to uridine editing 	0016554	TAD3071	2.16937829078302e-18	9.35544387900175e-17
detection of chemical stimulus involved in sensory perception of bitter taste 	0001580	TAD2130|TAD703	9.62743120084484e-32|4.26412229280119e-06	2.52038058763897e-29|4.74555545489165e-05
detection of chemical stimulus involved in sensory perception of taste 	0050912	TAD2130|TAD703|TAD1916	4.75783745175796e-31|5.7052978801785e-06|0.041862947806884	5.47151306952165e-29|5.9646296020048e-05|0.0601779874723958
DNA cytosine deamination 	0070383	TAD3071|TAD2311	1.66261113332583e-16|0.001662049526438	5.21455309997645e-15|0.00807615614959311
DNA deamination 	0045006	TAD3071|TAD2311	5.46578121630283e-15|0.00249238324073919	1.45053424586498e-13|0.00966148559612384
embryonic camera-type eye morphogenesis 	0048596	TAD2266|TAD1149|TAD2131	0.0115856808172183|0.00580690408359452|0.0024921243547612	0.0218418572783624|0.0147307493297067|0.00966148559612384
glutamine family amino acid metabolic process 	0009064	TAD2266|TAD3038|TAD2523|TAD21|TAD1163|TAD1915	0.043713202828816|0.0298658448880612|0.018963290046784|0.0126807416961321|0.0126807416961321|0.0283154637341165	0.0623184089914938|0.0449943951370355|0.0314535339718292|0.0231586802005325|0.0231586802005325|0.0432249335764168
interferon-gamma-mediated signaling pathway 	0060333	TAD1174|TAD2266|TAD1968|TAD926|TAD1650|TAD111	1.41850642805544e-10|0.127382609819506|3.07944025266699e-05|0.00967680503367274|0.074877654518456|0.00123978299342908	2.33040341751964e-09|0.154200001360454|0.000247071369109328|0.0197008745694486|0.0993568877264127|0.00661761116334312
interleukin-1 beta production 	0032611	TAD111|TAD1743|TAD170|TAD767	0.00684029714661227|0.00497889876452884|0.0301515561869022|0.00993575027526306	0.0160537586093962|0.0135300353836591|0.0450315449544644|0.0197008745694486
interleukin-1 beta secretion 	0050702	TAD111|TAD1743|TAD170|TAD767	0.00608237035797743|0.00442676109303808|0.0268458679741281|0.00883636600185089	0.0149886983821587|0.01292624326624|0.0415970560886454|0.0187104931562667
interleukin-1 secretion 	0050701	TAD111|TAD1743|TAD170|TAD767	0.00684029714661227|0.00497889876452884|0.0301515561869022|0.00993575027526306	0.0160537586093962|0.0135300353836591|0.0450315449544644|0.0197008745694486
lipid transport 	0006869	TAD2266|TAD2726|TAD1743|TAD2797|TAD2727|TAD2415|TAD2142|TAD2723|TAD858|TAD2143|TAD3067	0.162442326192838|1.10274864446561e-08|0.0493525127032779|0.0372450179561696|0.000117471559337199|0.0789663776781225|4.71771225297985e-07|0.0125706721462259|0.055349664962827|0.0847787257801538|0.0433177082844425	0.193919039918786|1.58520117641932e-07|0.0694963954393097|0.0537637288488641|0.000827095672884357|0.10280528414699|6.02818787880759e-06|0.0231586802005325|0.0754768158584005|0.108484784056218|0.0620108272121687
mineralocorticoid biosynthetic process 	0006705	TAD1174|TAD153	0.0132316089115739|8.63831132255138e-07	0.0235304385283145|1.06436335938579e-05
negative regulation of activated T cell proliferation 	0046007	TAD1650|TAD2726|TAD2670	3.21366367046999e-05|0.00718477102831705|0.00276873924128707	0.000251980446889125|0.0165249733651292|0.0103827721548265
negative regulation of cardiac muscle hypertrophy 	0010614	TAD2266|TAD2793|TAD333|TAD2298	0.021141441212994|0.00304540201648973|0.00380543393677657|0.00304540201648973	0.034567759329303|0.0107446799663632|0.0119352246198902|0.0107446799663632
negative regulation of complement activation 	0045916	TAD212	1.04516853696313e-12	2.4038876350152e-11
negative regulation of cytoskeleton organization 	0051494	TAD2882|TAD2793|TAD2176|TAD2536|TAD1644|TAD72	0.167865982920813|0.00663553960581298|0.0503342322455319|0.0279108761409458|0.00663553960581298|0.00498062172094116	0.198334808587947|0.0158976469722603|0.0705906915638557|0.0427966767494502|0.0158976469722603|0.0135300353836591
negative regulation of cytosolic calcium ion concentration 	0051481	TAD1968|TAD2500	1.57552884636583e-05|0.00345996488210043	0.000142113722474884|0.0113684560411871
negative regulation of ion transmembrane transporter activity 	0032413	TAD316|TAD468|TAD1382|TAD2797|TAD1266	0.00145499896071499|0.00290798157032057|0.0115836822889596|0.00869980154295957|0.000131915989324928	0.00738198002127459|0.0105605646501116|0.0218418572783624|0.0186424318777705|0.000910220326342001
negative regulation of muscle hypertrophy 	0014741	TAD2266|TAD2793|TAD333	0.013504000699184|0.0019387890830489|0.00242298261526996	0.0236491382802969|0.00891842978202493|0.00966148559612384
negative regulation of peptidase activity 	0010466	TAD6|TAD2436|TAD1141|TAD502	0.0255034210699481|6.50673465155965e-19|1.21538030524346e-05|0.0170742059534214	0.0403609186657435|3.7413724246468e-17|0.000119801772945427|0.0291613913560909
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate 	0045869	TAD3071|TAD2189	2.81918793602219e-13|0.00718477102831705	6.94728455662612e-12|0.0165249733651292
negative regulation of sodium ion transmembrane transport 	1902306	TAD316|TAD468|TAD1382|TAD2797	0.000692856647959594|0.00138528122068127|0.00553076848235234|0.00415066354797067	0.00426849184903679|0.00713316449455279|0.0142396651224743|0.01245242152264
negative regulation of sodium ion transmembrane transporter activity 	2000650	TAD316|TAD468|TAD1382|TAD2797	0.000692856647959594|0.00138528122068127|0.00553076848235234|0.00415066354797067	0.00426849184903679|0.00713316449455279|0.0142396651224743|0.01245242152264
negative regulation of transposition 	0010529	TAD3071|TAD2849	3.28840189255326e-16|0.00150285546378019	9.45415544109062e-15|0.00751427731890094
negative regulation of ubiquitin-protein transferase activity 	0051444	TAD28|TAD6|TAD858|TAD116	0.0134323261488141|0.00539305930938261|0.0080795091896082|0.0080795091896082	0.0236491382802969|0.0141003732402629|0.0177543354803492|0.0177543354803492
negative regulation of viral genome replication 	0045071	TAD3071|TAD2189|TAD2266|TAD1968|TAD170	9.0659274520392e-11|0.0441293408382849|0.0926794725686001|0.229675196693259|0.156612263679864	1.56387248547676e-09|0.0626527678568242|0.116694956336376|0.25478438218384|0.188920388005431
negative regulation of viral process 	0048525	TAD3071|TAD1968|TAD170	4.01625379653984e-06|0.103704851065804|0.00227548218953712	4.61869186602082e-05|0.126424641758666|0.00966148559612384
negative regulation of voltage-gated calcium channel activity 	1901386	TAD1968|TAD2485|TAD2484	3.71307754410231e-05|0.0080795091896082|0.00718477102831683	0.000278480815807674|0.0177543354803492|0.0165249733651292
neurotransmitter receptor transport, postsynaptic endosome to lysosome 	0098943	TAD2882|TAD2583	0.00117898078553069|0.000969797672032535	0.00661761116334312|0.00567085079408855
organic hydroxy compound transport 	0015850	TAD2797|TAD2415|TAD2142|TAD2143|TAD2673	0.0148752523436595|0.0319579177705155|1.06226589042489e-08|0.0343746663807963|0.0487524487835608	0.0259190002957703|0.0471174428667857|1.58520117641932e-07|0.0500390713138175|0.0689327656980675
phosphatidylinositol 3-kinase signaling 	0014065	TAD506|TAD2238|TAD2674|TAD2142|TAD2649	0.000149006434093514|0.0205987160091018|0.0246689507135708|0.0226358815446855|0.000227060653262643	0.00100798470122083|0.0338407477292387|0.0392202211805618|0.0368366940231911|0.00150646010337715
positive regulation of calcineurin-NFAT signaling cascade 	0070886	TAD2266|TAD2238|TAD2536	0.013504000699184|0.00484093133507257|0.00821761919558239	0.0236491382802969|0.0135300353836591|0.0178306831602259
positive regulation of carbohydrate metabolic process 	0045913	TAD3071|TAD2266|TAD212|TAD2238|TAD837	0.0271002673433167|0.0343699733320945|0.0111715282920525|0.0124055072500905|0.00993609326111322	0.0417392510421619|0.0500390713138175|0.0216526812402141|0.0231409786974335|0.0197008745694486
positive regulation of CD4-positive, alpha-beta T cell activation 	2000516	TAD212|TAD548|TAD2670	0.00435774388410159|0.00339076568215624|0.00242298261526996	0.0128497576069662|0.0112482130802298|0.00966148559612384
positive regulation of cellular senescence 	2000774	TAD2189|TAD1670|TAD1149	0.00628928792440853|0.00242298261526996|0.00677167176522153	0.0153886832192975|0.00966148559612384|0.0160537586093962
positive regulation of granulocyte differentiation 	0030854	TAD842|TAD3017|TAD2674	0.00207713009225519|0.00290697479171087|0.00497907098859629	0.0094290773924742|0.0105605646501116|0.0135300353836591
positive regulation of interleukin-1 production 	0032732	TAD170|TAD1756	0.000729235197520144|3.47094267259504e-05	0.00441379198499035|0.000266105604898953
positive regulation of leukocyte apoptotic process 	2000108	TAD1033|TAD2670|TAD1545|TAD1670	0.00124679630613711|0.00311439999025021|0.00186967613658851|0.00311439999025021	0.00661761116334312|0.0107446799663632|0.00871673333950046|0.0107446799663632
positive regulation of SMAD protein import into nucleus 	0060391	TAD2793|TAD2500|TAD1149|TAD1878	0.00332191140436477|0.00415080717421334|0.0115824836139131|0.00746007507794544	0.0111267906262704|0.01245242152264|0.0218418572783624|0.0169341627387963
positive regulation of transcription regulatory region DNA binding 	2000679	TAD2189|TAD1968|TAD2310|TAD454|TAD6|TAD2238	0.0169860437472616|0.0943038754062752|0.0130906230966046|0.00394435916983216|0.00787397614950291|0.0130906230966046	0.0291551497154491|0.117879844257844|0.0235222133767114|0.0121500349427866|0.0177543354803492|0.0235222133767114
positive regulation of tumor necrosis factor secretion 	1904469	TAD2670|TAD432|TAD1756	0.00380543393677657|0.00608237035797732|2.89365532606329e-05	0.0119352246198902|0.0149886983821587|0.000237693116069485
