TAD	Term	ID	P.value	P.adjust
TAD2130	bitter taste receptor activity 	0033038	4.71737364550609e-34	2.75966358262107e-32
TAD2130	taste receptor activity 	0008527	2.7941411664559e-32	1.0897150549178e-30
TAD1916	ATPase activity, coupled to transmembrane movement of substances 	0042626	0.0536267088941951	0.0586385508469236
TAD1916	ATPase coupled ion transmembrane transporter activity 	0042625	0.0289422718210183	0.0384999878487555
TAD1916	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances 	0016820	0.0501363999324742	0.0564034499240335
TAD1916	ion transmembrane transporter activity 	0015075	0.0419458083719184	0.0515509050275159
TAD1916	taste receptor activity 	0008527	0.0372360744298021	0.0469492665743173
TAD1174	ADP binding 	0043531	0.0623520774271545	0.0657224599907845
TAD1174	ATPase activity, coupled to transmembrane movement of substances 	0042626	0.118459008163332	0.120519164827042
TAD1174	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances 	0016820	0.111004155341511	0.113925317324183
TAD1174	MHC class II receptor activity 	0032395	6.01279699049059e-14	1.4069944957748e-12
TAD1174	MHC protein complex binding 	0023023	1.85964823535201e-05	0.000145052562357457
TAD212	complement receptor activity 	0004875	3.00501856889517e-05	0.000206815983859256
TAD2882	complement receptor activity 	0004875	0.000134279966974537	0.000714125278910037
TAD1968	1-phosphatidylinositol-3-kinase regulator activity 	0046935	0.038641746187853	0.0480966415316894
TAD1968	ammonium ion binding 	0070405	7.34782186648541e-05	0.000409378646847044
TAD1968	androgen receptor binding 	0050681	0.241409264209859	0.241409264209859
TAD1968	olfactory receptor activity 	0004984	1.11889472859455e-55	1.30910683245563e-53
TAD1968	phosphatidylinositol 3-kinase regulator activity 	0035014	0.0511919804997388	0.0570424925568518
TAD170	ammonium ion binding 	0070405	0.0542130433897816	0.0587307970055967
TAD170	olfactory receptor activity 	0004984	0.14727911844546	0.148548766018266
TAD2142	bile acid transmembrane transporter activity 	0015125	8.31549290135395e-10	1.3657185042007e-08
TAD2415	bile acid transmembrane transporter activity 	0015125	0.0180097309131084	0.0308532574082522
TAD2143	ATPase activity, coupled to transmembrane movement of substances 	0042626	0.0536267088941951	0.0586385508469236
TAD2143	ATPase coupled ion transmembrane transporter activity 	0042625	0.0289422718210183	0.0384999878487555
TAD2143	bile acid transmembrane transporter activity 	0015125	0.019382423932975	0.031615574140273
TAD2143	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances 	0016820	0.0501363999324742	0.0564034499240335
TAD545	ion transmembrane transporter activity 	0015075	0.00609967208597917	0.0169919436680848
TAD545	sodium:bicarbonate symporter activity 	0008510	0.00139585588490221	0.00653260554134234
TAD2176	core promoter proximal region DNA binding 	0001159	0.0579076186207693	0.0621577190700001
TAD2176	ion transmembrane transporter activity 	0015075	0.0905860000180226	0.0937925840894571
TAD2176	sodium:bicarbonate symporter activity 	0008510	0.0214450494854791	0.0328018725992071
