GO.Term	GO.ID	TAD	P.value	P.adjust
'de novo' posttranslational protein folding 	0051084	TAD2194|TAD2986	0.0205987160091018|0.0103511634102998	0.0383845153935516|0.0320301343511385
2-oxoglutarate metabolic process 	0006103	TAD1915|TAD2536	0.0210027253870707|0.0198468844489214	0.0387488814250453|0.0378202946606561
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process 	0050428	TAD1149	0.00580690408359452	0.0312226708723271
3'-phosphoadenosine 5'-phosphosulfate metabolic process 	0050427	TAD1149	0.023989521142484	0.0408060034296495
3'-UTR-mediated mRNA stabilization 	0070935	TAD2129	0.0163716506761721	0.0355658635586251
4-hydroxyproline metabolic process 	0019471	TAD21|TAD3038	0.00442676109303808|0.0104855564074129	0.0312226708723271|0.032234223274686
5S class rRNA transcription from RNA polymerase III type 1 promoter 	0042791	TAD2586|TAD470	0.00332168144298328|0.00166199196430317	0.0312226708723271|0.0312226708723271
7-methylguanosine mRNA capping 	0006370	TAD1012|TAD1234|TAD2765	0.0262935432213699|0.0306101806745263|0.0132316089115743	0.0421845008590057|0.0449694487013333|0.0335055941460385
7-methylguanosine RNA capping 	0009452	TAD1012|TAD1234|TAD2765	0.0262935432213699|0.0306101806745263|0.0132316089115743	0.0421845008590057|0.0449694487013333|0.0335055941460385
acetyl-CoA metabolic process 	0006084	TAD1027	0.00966076129610094	0.0317468008020042
actin-myosin filament sliding 	0033275	TAD2237	0.0182888252793533	0.0367298762150151
actin crosslink formation 	0051764	TAD2140|TAD2306|TAD652	0.00186967613658851|0.0080795091896082|0.00435774388410148	0.0312226708723271|0.0313865936270947|0.0312226708723271
actin cytoskeleton reorganization 	0031532	TAD1155|TAD190|TAD1967|TAD2953|TAD3067|TAD332|TAD876	0.0292184908586191|0.0615837175264663|0.0250964198536335|0.0209571341023337|0.0292184908586191|0.0292184908586191|0.0126266353165356	0.0441150456438089|0.0649754704230307|0.041347279921431|0.0387412617645111|0.0441150456438089|0.0441150456438089|0.0333137057358765
actin filament-based transport 	0099515	TAD2485|TAD3071	0.00622017522863827|0.0151434048967676	0.0312226708723271|0.0347545975341708
actin filament bundle assembly 	0051017	TAD2140|TAD2306|TAD652|TAD420	0.0076715401611116|0.0328320267563444|0.0178112397471381|0.00512074448138167	0.0313865936270947|0.0463979583250306|0.036392901011535|0.0312226708723271
actin filament bundle organization 	0061572	TAD2140|TAD2306|TAD652|TAD420	0.00725786888329882|0.0310830796009646|0.0168554712167469|0.00484428354090627	0.0312452180388064|0.0453688504502629|0.035892451306963|0.0312226708723271
actin filament capping 	0051693	TAD2140	0.00207727395769153	0.0312226708723271
actin filament network formation 	0051639	TAD2306|TAD652	0.00718477102831705|0.00387435535637148	0.0312452180388064|0.0312226708723271
actin filament organization 	0007015	TAD2237|TAD2140|TAD652|TAD1967|TAD2953|TAD420|TAD1510|TAD2484|TAD2490|TAD333	0.0567797454069946|0.0247377320843984|0.0567797454069946|0.0488684830493261|0.0408914225213645|0.0165600036133015|0.0567797454069946|0.0646257478020567|0.0488684830493261|0.0408914225213645	0.0617786206064159|0.0410768764449113|0.0617786206064159|0.0567801726897971|0.051682922902408|0.0355925931319612|0.0617786206064159|0.0672537819086098|0.0567801726897971|0.051682922902408
actin filament polymerization 	0030041	TAD1650|TAD2955	0.0197788938055|0.00249281487684583	0.0377948361284341|0.0312226708723271
actin nucleation 	0045010	TAD381	0.000173135158020115	0.0106984859230235
actin polymerization or depolymerization 	0008154	TAD1650|TAD2955|TAD1834	0.0391905785305509|0.00498251881197975|0.027106766151908	0.05049310192559|0.0312226708723271|0.0425649035395706
action potential 	0001508	TAD566	0.0222434430854634	0.0396787629340057
activation of adenylate cyclase activity 	0007190	TAD627	0.0197836531395357	0.0377948361284341
activation of cysteine-type endopeptidase activity 	0097202	TAD1099|TAD1100|TAD170	0.00497907098859562|0.00663370450283474|0.0400027603431561	0.0312226708723271|0.0312226708723271|0.0510285133357668
activation of cysteine-type endopeptidase activity involved in apoptotic process 	0006919	TAD2485|TAD2484|TAD1141|TAD1756|TAD2500|TAD506|TAD927	0.048210283459282|0.0429690045239193|0.0586079635771775|0.0586079635771775|0.0270735843865918|0.048210283459282|0.0324008083146107	0.0563834982777108|0.0530193463832215|0.0630643023831648|0.0630643023831648|0.0425649035395706|0.0563834982777108|0.0462125127829364
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c 	0008635	TAD927	0.00290697479171098	0.0312226708723271
