GO.Term	GO.ID	TAD	P.value	P.adjust
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity 	0008467	TAD734	0.00183166113239919	0.0331547975126634
1-acylglycerol-3-phosphate O-acyltransferase activity 	0003841	TAD1174|TAD2903|TAD816	0.0491261849209499|0.0109468952604761|0.00783081511483164	0.0632223568209946|0.0371593497322587|0.0371593497322587
1-phosphatidylinositol-3-kinase activity 	0016303	TAD2142|TAD2194|TAD506|TAD767|TAD876	0.0405291360622487|0.0369119830595025|0.033281511881415|0.0584167920495627|0.011216310905256	0.0574650956782738|0.0549352134085561|0.0521958594768122|0.0691895923397126|0.0371593497322587
1-phosphatidylinositol-3-kinase regulator activity 	0046935	TAD1968|TAD2649	0.038641746187853|1.25406028188118e-05	0.0558475648300241|0.000726344821991262
1-phosphatidylinositol-4-phosphate 3-kinase activity 	0035005	TAD2142	0.00670203838921102	0.0371593497322587
1-phosphatidylinositol binding 	0005545	TAD1858|TAD502	0.00366108424309097|0.00487867719181601	0.0367887940219646|0.0371593497322587
2-acylglycerol-3-phosphate O-acyltransferase activity 	0047144	TAD2903	0.0054863578062897	0.0371593497322587
2 iron, 2 sulfur cluster binding 	0051537	TAD837	0.00765613178579816	0.0371593497322587
3'-5'-exoribonuclease activity 	0000175	TAD2326|TAD2498|TAD557	0.0107787612621688|0.0604611609677791|0.0424447353379676	0.0371593497322587|0.0709104268306887|0.0590585990508165
3'-5' DNA helicase activity 	0043138	TAD2143|TAD3038	0.01577500541723|0.021353038442557	0.0387828286173498|0.0428649832177097
3'-5' exonuclease activity 	0008408	TAD2326|TAD2498|TAD557|TAD332|TAD333	0.013200566102947|0.0736213591473063|0.0517923649485189|0.0229894898712721|0.0164741041638889	0.0376346596834492|0.0793977476461204|0.0648682086818943|0.0439427096033705|0.0391101394781874
3',5'-cyclic-AMP phosphodiesterase activity 	0004115	TAD2142	0.01431149270103	0.0379774733520519
3',5'-cyclic-GMP phosphodiesterase activity 	0047555	TAD2142|TAD858	0.0105134154153173|0.00860939198581212	0.0371593497322587|0.0371593497322587
3',5'-cyclic-nucleotide phosphodiesterase activity 	0004114	TAD2142|TAD858	0.0190404501907556|0.0156043669970557	0.0412450937203313|0.0385858011906455
3-hydroxyacyl-CoA dehydrogenase activity 	0003857	TAD842	0.0034864430963093	0.0367887940219646
5'-3' DNA helicase activity 	0043139	TAD2189	0.00678907733164458	0.0371593497322587
5'-3' exonuclease activity 	0008409	TAD1059|TAD280	0.00522646970306417|0.0220369585533539	0.0371593497322587|0.0433280719793694
5'-3' RNA polymerase activity 	0034062	TAD346	0.0309825694171859	0.0507558126771016
5S rRNA binding 	0008097	TAD116|TAD28	0.00704896629348672|0.011723705656863	0.0371593497322587|0.0372261306883513
acetylation-dependent protein binding 	0140033	TAD1785|TAD2953	0.0062693002658385|0.00783081511483164	0.0371593497322587|0.0371593497322587
acetylgalactosaminyltransferase activity 	0008376	TAD2112|TAD2113	0.0125150634022444|0.0207731005985972	0.03744401100915|0.0422313912414705
acetylglucosaminyltransferase activity 	0008375	TAD1019|TAD1133|TAD3020	0.0259019544121313|0.0511460742929738|0.0386052107822645	0.04606111794572|0.0646280840342062|0.0558475648300241
acetyltransferase activity 	0016407	TAD127|TAD1529	0.0228087556515068|0.00418464299267518	0.043897725272239|0.0371593497322587
