TAD	Term	ID	P.value	P.adjust
TAD2194	'de novo' posttranslational protein folding 	0051084	0.0205987160091018	0.0383845153935516
TAD2194	activation of MAPKK activity 	0000186	0.0226374357685831	0.0398937778563836
TAD2194	cell wall macromolecule catabolic process 	0016998	0.00828581544809626	0.0313865936270947
TAD2194	cellular response to fibroblast growth factor stimulus 	0044344	0.0632716793914978	0.0662665563201156
TAD2194	chaperone-mediated protein complex assembly 	0051131	0.0117199633845136	0.0326965588835301
TAD2194	defense response to Gram-negative bacterium 	0050829	0.0481326928847611	0.0563187518409155
TAD2194	defense response to Gram-positive bacterium 	0050830	0.044147349854672	0.0536953649221706
TAD2194	fibroblast growth factor receptor signaling pathway 	0008543	0.0527633540666941	0.05937084872049
TAD2194	histone acetylation 	0016573	0.0481326928847611	0.0563187518409155
TAD2194	histone H2A acetylation 	0043968	0.0110339912622015	0.0323336971931206
TAD2194	histone H4 acetylation 	0043967	0.0321010523875644	0.0459675095231847
TAD2194	mRNA 3'-end processing 	0031124	0.0501197508541573	0.057651935886042
TAD2194	mRNA cleavage involved in mRNA processing 	0098787	0.0089735029763901	0.0317221844764827
TAD2194	mRNA metabolic process 	0016071	0.065230268783707	0.0676397773308182
TAD2194	mRNA polyadenylation 	0006378	0.0185561696651284	0.0369484590827856
TAD2194	negative regulation of cardiac muscle cell differentiation 	2000726	0.00484093133507257	0.0312226708723271
TAD2194	negative regulation of cardiac muscle tissue development 	0055026	0.00484093133507257	0.0312226708723271
TAD2194	negative regulation of cardiocyte differentiation 	1905208	0.00484093133507257	0.0312226708723271
TAD2194	negative regulation of striated muscle cell differentiation 	0051154	0.0110339912622015	0.0323336971931206
TAD2194	neutrophil activation involved in immune response 	0002283	0.0420947827106196	0.0524709136518351
TAD2194	neutrophil degranulation 	0043312	0.0414610895296584	0.0521110430373964
TAD2194	neutrophil mediated immunity 	0002446	0.0427322867069002	0.0528947103319563
TAD2194	positive regulation of DNA biosynthetic process 	2000573	0.0374717284172421	0.0495483423512959
TAD2194	positive regulation of establishment of protein localization 	1904951	0.00828581544809626	0.0313865936270947
TAD2194	positive regulation of establishment of protein localization to telomere 	1904851	0.00622017522863783	0.0312226708723271
TAD2194	positive regulation of nucleobase-containing compound transport 	0032241	0.00415066354797089	0.0312226708723271
TAD2194	positive regulation of nucleocytoplasmic transport 	0046824	0.0226374357685831	0.0398937778563836
TAD2194	positive regulation of protein localization to Cajal body 	1904871	0.0055307684823519	0.0312226708723271
