TAD	Term	ID	P.value	P.adjust
TAD734	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity 	0008467	0.00183166113239919	0.0331547975126634
TAD734	heparan sulfate sulfotransferase activity 	0034483	0.00366108424309097	0.0367887940219646
TAD734	SH3/SH2 adaptor activity 	0005070	0.0132937687439899	0.0376346596834492
TAD734	sulfotransferase activity 	0008146	0.0101764893858124	0.0371593497322587
TAD1174	1-acylglycerol-3-phosphate O-acyltransferase activity 	0003841	0.0491261849209499	0.0632223568209946
TAD1174	acylglycerol O-acyltransferase activity 	0016411	0.0753996795847841	0.0803518560710934
TAD1174	ADP binding 	0043531	0.0623520774271545	0.0721575984907117
TAD1174	lysophosphatidic acid acyltransferase activity 	0042171	0.0544380869200155	0.0665707684882658
TAD1174	MHC class II protein complex binding 	0023026	1.08085893891481e-05	0.000666426740050906
TAD1174	MHC class II receptor activity 	0032395	6.01279699049059e-14	2.16260265091312e-11
TAD1174	MHC protein binding 	0042287	0.0805693213684797	0.0833902136753857
TAD1174	MHC protein complex binding 	0023023	1.85964823535201e-05	0.000978809973631621
TAD1174	O-acyltransferase activity 	0008374	0.0831436307320464	0.0851561248788592
TAD1174	peptidase activity, acting on L-amino acid peptides 	0070011	0.0938420510025741	0.0945871770497687
TAD1174	RNA polymerase II regulatory region DNA binding 	0001012	0.107864268421573	0.108416903238824
TAD1174	scavenger receptor activity 	0005044	0.0570832465684595	0.0686916487045992
TAD1174	thiolester hydrolase activity 	0016790	0.0357196454255794	0.0537510367115279
TAD1174	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding 	0001205	0.0491261849209499	0.0632223568209946
TAD1174	ubiquitin protein ligase activity involved in ERAD pathway 	1904264	0.0357196454255794	0.0537510367115279
TAD2903	1-acylglycerol-3-phosphate O-acyltransferase activity 	0003841	0.0109468952604761	0.0371593497322587
TAD2903	2-acylglycerol-3-phosphate O-acyltransferase activity 	0047144	0.0054863578062897	0.0371593497322587
TAD2903	acylglycerol O-acyltransferase activity 	0016411	0.016983999221695	0.0397090686028368
TAD2903	hormone activity 	0005179	0.0496266738379836	0.0636240517288743
TAD2903	lysophosphatidic acid acyltransferase activity 	0042171	0.0121568517614231	0.03744401100915
