TAD	Term	P.value	P.adjust
ABC transporters	TAD1174|TAD1916|TAD1743|TAD2726|TAD2727|TAD2143	0.0144569462958223|0.0778524501891508|0.0452410984849958|6.31521032101889e-09|9.723691144917e-05|0.0778524501891508	0.043370838887467|0.142337903926555|0.10282067837499|5.92050967595521e-08|0.00048618455724585|0.142337903926555
Antigen processing and presentation	TAD1174|TAD2129|TAD1133	1.28451432551591e-11|1.533664980389e-07|0.112284404741102	1.92677148827387e-10|1.04568066844704e-06|0.168426607111653
Asthma	TAD1174|TAD170	2.37588124345842e-11|0.177729028828021	2.96985155432302e-10|0.222161286035026
Graft-versus-host disease	TAD1174|TAD2129	1.97489602098419e-10|0.00235591293995825	2.11596002248306e-09|0.00883467352484345
Hematopoietic cell lineage	TAD2881|TAD1174|TAD212|TAD2586|TAD454|TAD170|TAD1574|TAD2536|TAD1083	0.287057856003463|9.63499984129826e-08|0.000148239164458785|0.0952805181807087|0.0368409970803902|0.000331248835671168|0.0488202794605933|0.191763592220515|0.231306486481457	0.336395925004058|7.2262498809737e-07|0.000653996313788756|0.148875809657357|0.0891314445493312|0.0013802034819632|0.107691792927779|0.235774908467846|0.275364864858878
Herpes simplex virus 1 infection	TAD2849|TAD2882|TAD2881|TAD432|TAD2888|TAD927|TAD1846|TAD1650|TAD1174|TAD1916|TAD1466|TAD2266|TAD548|TAD179|TAD837|TAD3071	6.68669185484547e-25|7.78821845243781e-14|0.828252458940915|0.406273441412475|4.67536823666639e-06|0.323586353156954|0.00360961508035816|0.647683730398981|0.000111134789318248|0.59856180161077|0.0357661456792438|0.839120599159702|0.366274336000307|0.511775587104582|0.406273441412475|0.761886295092409	2.50750944556705e-23|1.46029095983209e-12|0.839120599159702|0.44809570744023|2.504661555357e-05|0.373368869027255|0.0128914824298506|0.674670552498938|0.000520944324929287|0.632283593250813|0.0891314445493312|0.839120599159702|0.416220836363985|0.556277812070198|0.44809570744023|0.782759892218228
Olfactory transduction	TAD170|TAD1968|TAD2415	3.27231279174758e-07|3.62503096336492e-48|0.53340766272483	1.88787276446976e-06|2.71877322252369e-46|0.571508210062318
One carbon pool by folate	TAD1304|TAD2523|TAD2744|TAD2242|TAD3033	0.0152873069732901|0.000405777186349485|0.0127549353826338|0.0178135068014756|0.0328418946795157	0.0440980008844906|0.00160175205137955|0.0398591730707307|0.0494819633374323|0.0879693607487028
Taste transduction	TAD1916|TAD2130|TAD1005	0.139171179564888|5.71267530160134e-23|0.0106382978723403	0.192289755569943|1.42816882540033e-21|0.0346901017576313
Th1 and Th2 cell differentiation	TAD1650|TAD1174|TAD1916|TAD179|TAD837|TAD2586|TAD836|TAD332|TAD1858|TAD1859|TAD1133|TAD2058	0.173019821128756|6.66416712420836e-08|0.153128466581385|0.122400862524184|0.0905709005015904|0.0905709005015904|0.0687192533030104|0.0797092261988706|0.0349644701096399|0.132763989291964|0.132763989291964|0.0797092261988706	0.222161286035026|5.55347260350697e-07|0.201484824449191|0.180001268417917|0.147086613648204|0.147086613648204|0.139295783722318|0.142337903926555|0.0891314445493312|0.187873569752779|0.187873569752779|0.142337903926555
Th17 cell differentiation	TAD1650|TAD1174|TAD1916|TAD548|TAD179|TAD837|TAD2586|TAD2793|TAD2500|TAD3017|TAD836|TAD332|TAD1858|TAD1859	0.198414515234538|1.90122150646407e-07|0.175924549162553|0.0921742778862079|0.141012487417958|0.104635772724716|0.00494381401664639|0.0537496193044272|0.0667335627174084|0.0921742778862079|0.0795409897777182|0.0921742778862079|0.0405867499941792|0.152809646171171	0.240017558751457|1.18826344154004e-06|0.222161286035026|0.147086613648204|0.192289755569943|0.160156794986811|0.0168539114203854|0.115177755652344|0.139028255661267|0.147086613648204|0.142337903926555|0.147086613648204|0.0951251952988575|0.201484824449191
