TAD	Term	P.value	P.adjust
TAD2849	Herpes simplex virus 1 infection	6.68669185484547e-25	2.50750944556705e-23
TAD2882	Herpes simplex virus 1 infection	7.78821845243781e-14	1.46029095983209e-12
TAD2881	Hematopoietic cell lineage	0.287057856003463	0.336395925004058
TAD2881	Herpes simplex virus 1 infection	0.828252458940915	0.839120599159702
TAD432	Herpes simplex virus 1 infection	0.406273441412475	0.44809570744023
TAD2888	Herpes simplex virus 1 infection	4.67536823666639e-06	2.504661555357e-05
TAD927	Herpes simplex virus 1 infection	0.323586353156954	0.373368869027255
TAD1846	Herpes simplex virus 1 infection	0.00360961508035816	0.0128914824298506
TAD1650	Herpes simplex virus 1 infection	0.647683730398981	0.674670552498938
TAD1650	Th1 and Th2 cell differentiation	0.173019821128756	0.222161286035026
TAD1650	Th17 cell differentiation	0.198414515234538	0.240017558751457
TAD1174	ABC transporters	0.0144569462958223	0.043370838887467
TAD1174	Antigen processing and presentation	1.28451432551591e-11	1.92677148827387e-10
TAD1174	Asthma	2.37588124345842e-11	2.96985155432302e-10
TAD1174	Graft-versus-host disease	1.97489602098419e-10	2.11596002248306e-09
TAD1174	Hematopoietic cell lineage	9.63499984129826e-08	7.2262498809737e-07
TAD1174	Herpes simplex virus 1 infection	0.000111134789318248	0.000520944324929288
TAD1174	Th1 and Th2 cell differentiation	6.66416712420836e-08	5.55347260350697e-07
TAD1174	Th17 cell differentiation	1.90122150646407e-07	1.18826344154004e-06
TAD1916	ABC transporters	0.0778524501891508	0.142337903926555
TAD1916	Herpes simplex virus 1 infection	0.59856180161077	0.632283593250813
TAD1916	Taste transduction	0.139171179564888	0.192289755569943
TAD1916	Th1 and Th2 cell differentiation	0.153128466581385	0.201484824449191
TAD1916	Th17 cell differentiation	0.175924549162553	0.222161286035026
TAD1466	Herpes simplex virus 1 infection	0.0357661456792438	0.0891314445493312
TAD2266	Herpes simplex virus 1 infection	0.839120599159702	0.839120599159702
TAD548	Herpes simplex virus 1 infection	0.366274336000307	0.416220836363985
TAD548	Th17 cell differentiation	0.0921742778862079	0.147086613648204
TAD179	Herpes simplex virus 1 infection	0.511775587104582	0.556277812070198
TAD179	Th1 and Th2 cell differentiation	0.122400862524184	0.180001268417917
TAD179	Th17 cell differentiation	0.141012487417958	0.192289755569943
TAD837	Herpes simplex virus 1 infection	0.406273441412475	0.44809570744023
TAD837	Th1 and Th2 cell differentiation	0.0905709005015904	0.147086613648204
TAD837	Th17 cell differentiation	0.104635772724716	0.160156794986811
TAD3071	Herpes simplex virus 1 infection	0.761886295092409	0.782759892218228
TAD212	Hematopoietic cell lineage	0.000148239164458785	0.000653996313788756
TAD2586	Hematopoietic cell lineage	0.0952805181807087	0.148875809657357
TAD2586	Th1 and Th2 cell differentiation	0.0905709005015904	0.147086613648204
TAD2586	Th17 cell differentiation	0.00494381401664639	0.0168539114203854
TAD454	Hematopoietic cell lineage	0.0368409970803902	0.0891314445493312
TAD170	Asthma	0.177729028828021	0.222161286035026
TAD170	Hematopoietic cell lineage	0.000331248835671168	0.0013802034819632
TAD170	Olfactory transduction	3.27231279174758e-07	1.88787276446976e-06
TAD1574	Hematopoietic cell lineage	0.0488202794605933	0.107691792927779
TAD2536	Hematopoietic cell lineage	0.191763592220515	0.235774908467846
TAD1083	Hematopoietic cell lineage	0.231306486481457	0.275364864858878
TAD1968	Olfactory transduction	3.62503096336492e-48	2.71877322252369e-46
TAD2415	Olfactory transduction	0.53340766272483	0.571508210062318
TAD2793	Th17 cell differentiation	0.0537496193044272	0.115177755652344
TAD2500	Th17 cell differentiation	0.0667335627174084	0.139028255661267
TAD3017	Th17 cell differentiation	0.0921742778862079	0.147086613648204
TAD836	Th1 and Th2 cell differentiation	0.0687192533030104	0.139295783722318
TAD836	Th17 cell differentiation	0.0795409897777182	0.142337903926555
TAD332	Th1 and Th2 cell differentiation	0.0797092261988706	0.142337903926555
TAD332	Th17 cell differentiation	0.0921742778862079	0.147086613648204
TAD1858	Th1 and Th2 cell differentiation	0.0349644701096399	0.0891314445493312
TAD1858	Th17 cell differentiation	0.0405867499941792	0.0951251952988575
TAD1859	Th1 and Th2 cell differentiation	0.132763989291964	0.187873569752779
TAD1859	Th17 cell differentiation	0.152809646171171	0.201484824449191
TAD1304	One carbon pool by folate	0.0152873069732901	0.0440980008844906
TAD2523	One carbon pool by folate	0.000405777186349485	0.00160175205137955
TAD2744	One carbon pool by folate	0.0127549353826338	0.0398591730707307
TAD2242	One carbon pool by folate	0.0178135068014756	0.0494819633374323
TAD3033	One carbon pool by folate	0.0328418946795157	0.0879693607487028
TAD2130	Taste transduction	5.71267530160134e-23	1.42816882540033e-21
TAD1005	Taste transduction	0.0106382978723403	0.0346901017576313
TAD2129	Antigen processing and presentation	1.533664980389e-07	1.04568066844704e-06
TAD2129	Graft-versus-host disease	0.00235591293995825	0.00883467352484345
TAD1133	Antigen processing and presentation	0.112284404741102	0.168426607111653
TAD1133	Th1 and Th2 cell differentiation	0.132763989291964	0.187873569752779
TAD1743	ABC transporters	0.0452410984849958	0.10282067837499
TAD2726	ABC transporters	6.31521032101889e-09	5.92050967595521e-08
TAD2727	ABC transporters	9.723691144917e-05	0.00048618455724585
TAD2143	ABC transporters	0.0778524501891508	0.142337903926555
TAD2058	Th1 and Th2 cell differentiation	0.0797092261988706	0.142337903926555
