TAD	Term	P.value	P.adjust
ABC transporters	TAD1174|TAD1743|TAD1916|TAD2143|TAD2726|TAD2727	0.0144569462958223|0.0452410984849958|0.0778524501891508|0.0778524501891508|6.31521032101889e-09|9.723691144917e-05	0.115232122591671|0.115232122591671|0.119065388244818|0.119065388244818|6.23627019200615e-07|0.00404300842341286
Acute myeloid leukemia	TAD1916|TAD2523|TAD3017|TAD837|TAD842	0.112222886339525|0.0969853282918156|0.057755465185909|0.0657334176294919|0.0415977499999102	0.126450006764748|0.122935610123605|0.115804105322|0.116636733975924|0.115232122591671
Adherens junction	TAD842|TAD2500|TAD2744|TAD2793|TAD548	0.0453096056533021|0.0453096056533021|0.0453096056533021|0.0364126721310443|0.0628611519349521	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116164467903186
Adipocytokine signaling pathway	TAD1916|TAD837|TAD1858|TAD1859|TAD506|TAD927	0.117034675967876|0.0686292438266782|0.0263010487497383|0.101181594772088|0.0768746354325233|0.051920117158856	0.128681132936148|0.116895301324227|0.115232122591671|0.123640309156921|0.118923783923687|0.115232122591671
Adrenergic signaling in cardiomyocytes	TAD1362|TAD1823|TAD2583|TAD2649|TAD2882|TAD566	0.0723065764576118|0.0547320342034118|0.0368268931138618|0.0169025775479114|0.148016896867385|0.106488004180877	0.1185626356522|0.115232122591671|0.115232122591671|0.115232122591671|0.152854050359784|0.126092495478642
African trypanosomiasis	TAD2583|TAD2582|TAD3067	0.00946286242757199|0.00474237375032027|0.0327404518505116	0.115232122591671|0.100957585580596|0.115232122591671
AGE-RAGE signaling pathway in diabetic complications	TAD837|TAD2500|TAD2793|TAD548|TAD1858|TAD1859|TAD506|TAD927|TAD2583|TAD2582|TAD2298|TAD2629|TAD316	0.0980960332489538|0.0624798483994677|0.0503010987034357|0.0863753839084597|0.0379657447445247|0.143508470096195|0.00552185139100711|0.0745039621816982|0.0254717933775703|0.0128172263522173|0.0503010987034357|0.0254717933775703|0.0128172263522173	0.122935610123605|0.11604120992644|0.115232122591671|0.120759284562|0.115232122591671|0.148879437131969|0.110437027820142|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Alanine, aspartate and glutamate metabolism	TAD1163|TAD1915|TAD21	0.0353453869868767|0.0778235454542876|0.0353453869868767	0.115232122591671|0.119065388244818|0.115232122591671
Alcoholism	TAD1362|TAD1574	0.0891557856135407|0.0891557856135407	0.122358683260164|0.122358683260164
Aldosterone-regulated sodium reabsorption	TAD506|TAD2583|TAD2582|TAD2238|TAD2797|TAD885	0.0419016963965186|0.00946286242757199|0.00474237375032027|0.0464506040358522|0.0281279240400292|0.00946286242757199	0.115232122591671|0.115232122591671|0.100957585580596|0.115232122591671|0.115232122591671|0.115232122591671
Aldosterone synthesis and secretion	TAD1174|TAD1362|TAD2583|TAD566|TAD2582|TAD316|TAD153|TAD1636|TAD1814|TAD1815|TAD2148|TAD2149|TAD526|TAD527|TAD627	0.0607122627626137|0.0493140781474406|0.024965577836086|0.0730605999341524|0.0125608818251731|0.0125608818251731|0.000921806836415279|0.0372160103196839|0.0730605999341524|0.0493140781474406|0.0493140781474406|0.0493140781474406|0.0493140781474406|0.0730605999341524|0.107583804150424	0.116002141856372|0.115232122591671|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.0285579372850224|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.126402479830167
Allograft rejection	TAD1174	1.11801623743252e-10	2.52352236449054e-08
alpha-Linolenic acid metabolism	TAD2266	0.086087779349428	0.120561949010329
Alzheimer disease	TAD2148|TAD2149|TAD526|TAD527|TAD2228|TAD992	0.0848452380670496|0.0848452380670496|0.0848452380670496|0.124543994781983|0.104913391989919|0.104913391989919	0.119543551774631|0.119543551774631|0.119543551774631|0.130661597298493|0.125105764779263|0.125105764779263
Amino sugar and nucleotide sugar metabolism	TAD2143|TAD1019|TAD1230|TAD28|TAD3079|TAD370|TAD75|TAD767	0.0828370207771991|0.0363619658230026|0.0303928568230681|0.0884897972284953|0.0771499231150502|0.0481924376975323|0.0183458247144219|0.0941084552139883	0.119543551774631|0.115232122591671|0.115232122591671|0.122144595105021|0.118923783923687|0.115232122591671|0.115232122591671|0.122706681526324
Aminoacyl-tRNA biosynthesis	TAD153|TAD1234	0.0334168720252584|0.112222886339525	0.115232122591671|0.126450006764748
Amoebiasis	TAD837|TAD506|TAD927|TAD2583|TAD2582|TAD1141|TAD2774	0.094340305676869|0.00509901170199557|0.0716153623379713|0.0244592308527214|0.0123045372981286|0.000277330991692607|0.094340305676869	0.122706681526324|0.104629071287701|0.118113019304796|0.115232122591671|0.115232122591671|0.00973739926387375|0.122706681526324
Amphetamine addiction	TAD1362|TAD2583|TAD566|TAD2582|TAD627|TAD332|TAD836	0.0344162470868672|0.0173565716881879|0.051184030293296|0.00871571391950776|0.0757991495708916|0.0594600033487165|0.051184030293296	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.118923783923687|0.116002141856372|0.115232122591671
AMPK signaling pathway	TAD1362|TAD2298|TAD1550|TAD766	0.0601290884495725|0.0601290884495725|0.0153806716226609|0.0601290884495725	0.116002141856372|0.116002141856372|0.115232122591671|0.116002141856372
Amyotrophic lateral sclerosis (ALS)	TAD2727|TAD927|TAD332|TAD836	0.0194849282205877|0.0385974959022085|0.0448868144898162|0.0385974959022085	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Antigen processing and presentation	TAD1174|TAD1133|TAD2129	1.28451432551591e-11|0.112284404741102|1.533664980389e-07	4.05906526863028e-09|0.126450006764748|9.31996411159469e-06
