TAD	Term	P.value	P.adjust
TAD1174	ABC transporters	0.0144569462958223	0.115232122591671
TAD1174	Aldosterone synthesis and secretion	0.0607122627626137	0.116002141856372
TAD1174	Allograft rejection	1.11801623743252e-10	2.52352236449054e-08
TAD1174	Antigen processing and presentation	1.28451432551591e-11	4.05906526863028e-09
TAD1174	Asthma	2.37588124345842e-11	6.25648727444051e-09
TAD1174	Autoimmune thyroid disease	1.30902808838893e-09	1.88024034514046e-07
TAD1174	Cell adhesion molecules (CAMs)	1.51121808333394e-06	7.70233732796007e-05
TAD1174	Cortisol synthesis and secretion	0.0288720523416774	0.115232122591671
TAD1174	Cushing syndrome	0.132281109386962	0.138413346245961
TAD1174	Epstein-Barr virus infection	7.01845072207601e-08	4.62048005870004e-06
TAD1174	Fatty acid elongation	0.105199296533659	0.125105764779263
TAD1174	Graft-versus-host disease	1.97489602098419e-10	3.90041964144377e-08
TAD1174	Hematopoietic cell lineage	9.63499984129826e-08	6.0893198997005e-06
TAD1174	Herpes simplex virus 1 infection	0.000111134789318248	0.0045023837723803
TAD1174	Human cytomegalovirus infection	0.0635979186951827	0.116483782209881
TAD1174	Human immunodeficiency virus 1 infection	0.215579523037839	0.218764063198321
TAD1174	Human T-cell leukemia virus 1 infection	1.99503824893479e-06	9.85050135411555e-05
TAD1174	Inflammatory bowel disease (IBD)	5.71551714155567e-09	6.23627019200615e-07
TAD1174	Influenza A	4.55517492614871e-06	0.000217267112174497
TAD1174	Intestinal immune network for IgA production	6.3415393019069e-10	1.00196320970129e-07
TAD1174	Leishmaniasis	1.44034766295884e-08	1.19776279340788e-06
TAD1174	Phagosome	6.10366162311754e-09	6.23627019200615e-07
TAD1174	Primary immunodeficiency	0.00992558881496355	0.115232122591671
TAD1174	Proteasome	0.0144569462958223	0.115232122591671
TAD1174	Protein processing in endoplasmic reticulum	0.146305091401999	0.151383133212285
TAD1174	Rheumatoid arthritis	6.17453791501811e-08	4.43444086624027e-06
TAD1174	Staphylococcus aureus infection	7.89175931570698e-09	7.33469395224531e-07
TAD1174	Systemic lupus erythematosus	8.4261688347424e-07	4.43778225296433e-05
TAD1174	Th1 and Th2 cell differentiation	6.66416712420836e-08	4.57799306793444e-06
TAD1174	Th17 cell differentiation	1.90122150646407e-07	1.11256665933823e-05
TAD1174	Toxoplasmosis	2.7684318247884e-07	1.56218652970203e-05
TAD1174	Tuberculosis	6.16700157642901e-06	0.00027839607116451
TAD1174	Type I diabetes mellitus	2.81478148670078e-10	4.94150527665248e-08
TAD1174	Viral myocarditis	2.84854008985868e-09	3.46207180152055e-07
TAD1743	ABC transporters	0.0452410984849958	0.115232122591671
TAD1743	Cholesterol metabolism	0.0501555594515784	0.115232122591671
TAD1743	Choline metabolism in cancer	0.0971583813017144	0.122935610123605
TAD1743	Fat digestion and absorption	0.0412935250287653	0.115232122591671
TAD1743	Mannose type O-glycan biosynthesis	0.0233521623579105	0.115232122591671
TAD1916	ABC transporters	0.0778524501891508	0.119065388244818
TAD1916	Acute myeloid leukemia	0.112222886339525	0.126450006764748
TAD1916	Adipocytokine signaling pathway	0.117034675967876	0.128681132936148
TAD1916	B cell receptor signaling pathway	0.120229069522423	0.129771183839744
TAD1916	Bile secretion	0.121822238973552	0.129860231875057
TAD1916	Cytosolic DNA-sensing pathway	0.10738675696829	0.126402479830167
TAD1916	Epithelial cell signaling in Helicobacter pylori infection	0.115433443514968	0.128033622624224
TAD1916	Porphyrin and chlorophyll metabolism	0.0728427343593984	0.11858757455853
TAD1916	RIG-I-like receptor signaling pathway	0.118633216577788	0.129269298064073
TAD1916	Shigellosis	0.110613553231763	0.126402479830167
TAD2143	ABC transporters	0.0778524501891508	0.119065388244818
TAD2143	Amino sugar and nucleotide sugar metabolism	0.0828370207771991	0.119543551774631
TAD2143	Bile secretion	0.121822238973552	0.129860231875057
TAD2143	Cysteine and methionine metabolism	0.0811782839590723	0.119543551774631
TAD2143	Glucagon signaling pathway	0.0141640848964356	0.115232122591671
TAD2143	Glycolysis / Gluconeogenesis	0.115433443514968	0.128033622624224
TAD2143	Glycosphingolipid biosynthesis	0.0778524501891508	0.119065388244818
TAD2143	Maturity onset diabetes of the young	0.0456947202703064	0.115232122591671
TAD2143	Propanoate metabolism	0.0559605705255653	0.115232122591671
TAD2143	Pyruvate metabolism	0.067807756242811	0.116873426769585
TAD2143	Starch and sucrose metabolism	0.0627473982950365	0.116164467903186
TAD2726	ABC transporters	6.31521032101889e-09	6.23627019200615e-07
TAD2727	ABC transporters	9.723691144917e-05	0.00404300842341286
TAD2727	Amyotrophic lateral sclerosis (ALS)	0.0194849282205877	0.115232122591671
TAD2727	Cellular senescence	0.0602771978319077	0.116002141856372
TAD2727	Epstein-Barr virus infection	0.0753232396602578	0.11858757455853
TAD2727	Fc epsilon RI signaling pathway	0.0259232067042398	0.115232122591671
TAD2727	Fluid shear stress and atherosclerosis	0.0525078751696363	0.115232122591671
TAD2727	GnRH signaling pathway	0.0353399703158229	0.115232122591671
TAD2727	Hepatitis B	0.061383621752249	0.116002141856372
TAD2727	Human cytomegalovirus infection	0.084055701044725	0.119543551774631
TAD2727	Human immunodeficiency virus 1 infection	0.0793324750903166	0.119543551774631
TAD2727	Inflammatory mediator regulation of TRP channels	0.0379657447445247	0.115232122591671
TAD2727	Influenza A	0.0643298389728526	0.116483782209881
TAD2727	Kaposi sarcoma-associated herpesvirus infection	0.0698373666834616	0.116895301324227
TAD2727	MAPK signaling pathway	0.109210998994361	0.126402479830167
TAD2727	Osteoclast differentiation	0.0480490959461599	0.115232122591671
TAD2727	Rap1 signaling pathway	0.0771470591953285	0.118923783923687
TAD2727	TNF signaling pathway	0.0417085790798323	0.115232122591671
TAD2727	Toll-like receptor signaling pathway	0.039464045733099	0.115232122591671
TAD2727	Toxoplasmosis	0.0428295333313014	0.115232122591671
TAD2523	Acute myeloid leukemia	0.0969853282918156	0.122935610123605
TAD2523	One carbon pool by folate	0.000405777186349485	0.0128225590886437
TAD2523	Tyrosine metabolism	0.0540237445031241	0.115232122591671
TAD3017	Acute myeloid leukemia	0.057755465185909	0.115804105322
TAD3017	Arachidonic acid metabolism	0.0551936934831303	0.115232122591671
TAD3017	Chemical carcinogenesis	0.0713179375071793	0.117927601361875
TAD3017	Chronic myeloid leukemia	0.0662517529701067	0.11669762507555
TAD3017	Folate biosynthesis	0.0231042259831684	0.115232122591671
TAD3017	Metabolism of xenobiotics by cytochrome P450	0.0645577691905748	0.116572886081266
TAD3017	Th17 cell differentiation	0.0921742778862079	0.122358683260164
TAD837	Acute myeloid leukemia	0.0657334176294919	0.116636733975924
TAD837	Adipocytokine signaling pathway	0.0686292438266782	0.116895301324227
TAD837	AGE-RAGE signaling pathway in diabetic complications	0.0980960332489538	0.122935610123605
TAD837	Amoebiasis	0.094340305676869	0.122706681526324
TAD837	B cell receptor signaling pathway	0.0705554285579367	0.117716554510602
TAD837	Butanoate metabolism	0.0283651011807244	0.115232122591671
TAD837	C-type lectin receptor signaling pathway	0.1018381257802	0.123867774236117
TAD837	Chagas disease (American trypanosomiasis)	0.100903878608992	0.123396384057437
TAD837	Chronic myeloid leukemia	0.0753556486435217	0.11858757455853
TAD837	Cocaine addiction	0.0491744418887137	0.115232122591671
TAD837	Cytosolic DNA-sensing pathway	0.0628297162298349	0.116164467903186
TAD837	Epithelial cell signaling in Helicobacter pylori infection	0.0676648423188625	0.116873426769585
TAD837	HIF-1 signaling pathway	0.0980960332489538	0.122935610123605
TAD837	IL-17 signaling pathway	0.091514536402497	0.122358683260164
TAD837	Inflammatory bowel disease (IBD)	0.0647663930908755	0.116636733975924
TAD837	Insulin resistance	0.105566625722534	0.125315754050791
TAD837	Legionellosis	0.0550478718442339	0.115232122591671
TAD837	Leishmaniasis	0.0734381700988364	0.11858757455853
TAD837	Longevity regulating pathway	0.099968781238851	0.123175631148363
TAD837	Lysosome	0.1194281630081	0.129771183839744
TAD837	Neurotrophin signaling pathway	0.115750259065192	0.128071014932076
TAD837	NF-kappa B signaling pathway	0.0933992383233708	0.122668991314153
TAD837	Osteoclast differentiation	0.123092674507724	0.13010818869455
TAD837	Other glycan degradation	0.0183166078423063	0.115232122591671
TAD837	Pancreatic cancer	0.074397343835794	0.11858757455853
TAD837	Pertussis	0.0753556486435217	0.11858757455853
TAD837	Prolactin signaling pathway	0.0695927723472249	0.116895301324227
TAD837	Prostate cancer	0.0952805181807087	0.122880787262533
TAD837	RIG-I-like receptor signaling pathway	0.0695927723472249	0.116895301324227
TAD837	Salmonella infection	0.0848910538551496	0.119543551774631
TAD837	Shigellosis	0.0647663930908755	0.116636733975924
TAD837	Small cell lung cancer	0.091514536402497	0.122358683260164
TAD837	Sphingolipid signaling pathway	0.115750259065192	0.128071014932076
TAD837	Synthesis and degradation of ketone bodies	0.0102124617259282	0.115232122591671
TAD837	T cell receptor signaling pathway	0.0990328330066802	0.122935610123605
TAD837	Th1 and Th2 cell differentiation	0.0905709005015904	0.122358683260164
TAD837	Th17 cell differentiation	0.104635772724716	0.125105764779263
TAD837	TNF signaling pathway	0.107425791708946	0.126402479830167
TAD837	Toll-like receptor signaling pathway	0.1018381257802	0.123867774236117
TAD837	Toxoplasmosis	0.11020820056679	0.126402479830167
TAD842	Acute myeloid leukemia	0.0415977499999102	0.115232122591671
TAD842	Adherens junction	0.0453096056533021	0.115232122591671
TAD842	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0453096056533021	0.115232122591671
TAD842	Basal cell carcinoma	0.0397374976833624	0.115232122591671
TAD842	Breast cancer	0.0907453059040643	0.122358683260164
TAD842	Butanoate metabolism	0.0178203176949439	0.115232122591671
TAD842	Colorectal cancer	0.0539258888382662	0.115232122591671
TAD842	Cushing syndrome	0.0954877898840031	0.122880787262533
TAD842	Endometrial cancer	0.036630658898652	0.115232122591671
TAD842	Fatty acid degradation	0.0278887073944705	0.115232122591671
TAD842	Fatty acid elongation	0.0171882844373472	0.115232122591671
TAD842	Gastric cancer	0.0919327874255275	0.122358683260164
TAD842	Hepatocellular carcinoma	0.103152104383072	0.124710701580621
TAD842	Hippo signaling pathway	0.0984417790022109	0.122935610123605
TAD842	Lysine degradation	0.0372526690620696	0.115232122591671
TAD842	Melanogenesis	0.0630884696352507	0.116294127068934
TAD842	Prostate cancer	0.0606520867050563	0.116002141856372
TAD842	Ribosome	0.0943040284427999	0.122706681526324
TAD842	Thyroid cancer	0.0234939979046532	0.115232122591671
TAD842	Tryptophan metabolism	0.0266346939842432	0.115232122591671
TAD842	Valine, leucine and isoleucine degradation	0.0303928568230681	0.115232122591671
TAD842	Wnt signaling pathway	0.0972611109452605	0.122935610123605
TAD2500	Adherens junction	0.0453096056533021	0.115232122591671
TAD2500	AGE-RAGE signaling pathway in diabetic complications	0.0624798483994677	0.11604120992644
TAD2500	Apelin signaling pathway	0.0847892492147985	0.119543551774631
TAD2500	Cell cycle	0.0769997562798115	0.118923783923687
TAD2500	Cellular senescence	0.0984417790022109	0.122935610123605
TAD2500	Chagas disease (American trypanosomiasis)	0.0643047638525222	0.116483782209881
TAD2500	Chronic myeloid leukemia	0.0477777802012637	0.115232122591671
TAD2500	Colorectal cancer	0.0539258888382662	0.115232122591671
TAD2500	FoxO signaling pathway	0.0817995392907689	0.119543551774631
TAD2500	Gastric cancer	0.0919327874255275	0.122358683260164
TAD2500	Hepatitis B	0.100210464538463	0.123175631148363
TAD2500	Hepatocellular carcinoma	0.103152104383072	0.124710701580621
TAD2500	Hippo signaling pathway	0.0984417790022109	0.122935610123605
TAD2500	Inflammatory bowel disease (IBD)	0.0409779865169819	0.115232122591671
TAD2500	Pancreatic cancer	0.0471612156973795	0.115232122591671
TAD2500	Relaxin signaling pathway	0.0806014699184098	0.119543551774631
TAD2500	Signaling pathways regulating pluripotency of stem cells	0.0859829503460211	0.120543976527696
TAD2500	TGF-beta signaling pathway	0.0563762220021277	0.115232122591671
TAD2500	Th17 cell differentiation	0.0667335627174084	0.116873426769585
TAD2500	Wnt signaling pathway	0.0972611109452605	0.122935610123605
