TAD	Term	P.value	P.adjust
TAD1005	cAMP signaling pathway|Neuroactive ligand-receptor interaction|Serotonergic synapse|Taste transduction	0.0271725198667008|0.0433222250704947|0.0144834657780054|0.0106382978723403	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
TAD1012	Basal transcription factors|Legionellosis|Nucleotide excision repair|RNA transport	0.0671049004212343|0.0814449027337822|0.0699892120586829|0.0255300235017386	0.116873426769585|0.119543551774631|0.116895301324227|0.115232122591671
TAD1019	Amino sugar and nucleotide sugar metabolism|Glycosaminoglycan degradation|Glycosphingolipid biosynthesis|Lysosome|Other glycan degradation	0.0363619658230026|0.0145275954960933|0.0341221055603307|0.0909684658808094|0.0137673956469002	0.115232122591671|0.115232122591671|0.115232122591671|0.122358683260164|0.115232122591671
TAD1027	Arginine and proline metabolism|Pyruvate metabolism	0.0610930891408982|0.0489051995812562	0.116002141856372|0.115232122591671
TAD1033	Apelin signaling pathway|cGMP-PKG signaling pathway|Fluid shear stress and atherosclerosis|MAPK signaling pathway|Oxytocin signaling pathway|Parathyroid hormone synthesis, secretion and action|Transcriptional misregulation in cancer	0.0348130720658695|0.0421031673517032|0.035316724490688|0.0741966411933397|0.038838611091769|0.0269896513507407|0.0471147176426318	0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671
TAD1059	RNA degradation	0.0398989646885241	0.115232122591671
TAD1062	Axon guidance	0.0458630623375273	0.115232122591671
TAD1067	Hedgehog signaling pathway|Lysine degradation	0.0529551391255276|0.0660695423471216	0.115232122591671|0.116636733975924
TAD107	Autophagy|Pancreatic secretion|Renin secretion	0.0945152097579345|3.74021703422483e-05|1.29932847487832e-05	0.122706681526324|0.00159717376056087|0.000570260830641039
TAD1083	Bladder cancer	0.104873067838841	0.125105764779263
TAD1099	Leukocyte transendothelial migration|RNA transport|T cell receptor signaling pathway	0.083124862286952|0.120404458325026|0.0752249406583156	0.119543551774631|0.129771183839744|0.11858757455853
TAD1100	RNA transport	0.15724553727293	0.161539628667899
TAD111	Chemical carcinogenesis|Cysteine and methionine metabolism|NOD-like receptor signaling pathway|Selenocompound metabolism|Tryptophan metabolism	0.109790243861203|0.0643447767496383|5.44938722507831e-08|0.0237238299389206|0.0576831804971019	0.126402479830167|0.116483782209881|4.10001515029702e-06|0.115232122591671|0.115804105322
TAD1112	Chemokine signaling pathway|Fc gamma R-mediated phagocytosis	0.0939274038491326|0.0458534464694745	0.122706681526324|0.115232122591671
TAD1118	Cellular senescence|Circadian rhythm|Hedgehog signaling pathway|Hippo signaling pathway|Oocyte meiosis|Progesterone-mediated oocyte maturation|Shigellosis|Ubiquitin mediated proteolysis|Wnt signaling pathway	0.0984417790022108|0.0197144667479641|0.0297673038274698|0.0984417790022108|0.0776008244249797|0.0618709109146661|0.0409779865169819|0.0847892492147985|0.0972611109452605	0.122935610123605|0.115232122591671|0.115232122591671|0.122935610123605|0.119065388244818|0.116002141856372|0.115232122591671|0.119543551774631|0.122935610123605
TAD1121	Collecting duct acid secretion|Epithelial cell signaling in Helicobacter pylori infection|Oxidative phosphorylation|Phagosome|Rheumatoid arthritis|SNARE interactions in vesicular transport|Synaptic vesicle cycle|Vibrio cholerae infection	0.0171882844373472|0.0428363157196056|0.0823981054320395|0.0937116831376612|0.0569880112772817|0.0216056923560813|0.0490099516868633|0.0316429948406085	0.115232122591671|0.115232122591671|0.119543551774631|0.122706681526324|0.115375190636324|0.115232122591671|0.115232122591671|0.115232122591671
TAD1126	RNA transport|Spliceosome|Synaptic vesicle cycle	0.0819630521520166|0.0669631537565579|0.0394015030121968	0.119543551774631|0.116873426769585|0.115232122591671
TAD1133	Antigen processing and presentation|Arachidonic acid metabolism|Mitophagy|N-Glycan biosynthesis|Notch signaling pathway|Thyroid hormone synthesis	0.112284404741102|0.092771110477269|0.0955825870542107|0.0743003549019119|0.0714283003185536|0.108135669157077	0.126450006764748|0.122416535029286|0.122880787262533|0.11858757455853|0.117927601361875|0.126402479830167
TAD1141	Amoebiasis|Cytosolic DNA-sensing pathway|Gastric acid secretion|RIG-I-like receptor signaling pathway	0.000277330991692607|0.0853752227909422|0.100865036025206|0.0944401661540583	0.00973739926387375|0.120011434172321|0.123396384057437|0.122706681526324
TAD1149	Ovarian steroidogenesis	0.0844929766334177	0.119543551774631
TAD1163	Alanine, aspartate and glutamate metabolism|Butanoate metabolism	0.0353453869868767|0.0283651011807244	0.115232122591671|0.115232122591671
TAD1174	ABC transporters|Aldosterone synthesis and secretion|Allograft rejection|Antigen processing and presentation|Asthma|Autoimmune thyroid disease|Cell adhesion molecules (CAMs)|Cortisol synthesis and secretion|Cushing syndrome|Epstein-Barr virus infection|Fatty acid elongation|Graft-versus-host disease|Hematopoietic cell lineage|Herpes simplex virus 1 infection|Human cytomegalovirus infection|Human immunodeficiency virus 1 infection|Human T-cell leukemia virus 1 infection|Inflammatory bowel disease (IBD)|Influenza A|Intestinal immune network for IgA production|Leishmaniasis|Phagosome|Primary immunodeficiency|Proteasome|Protein processing in endoplasmic reticulum|Rheumatoid arthritis|Staphylococcus aureus infection|Systemic lupus erythematosus|Th1 and Th2 cell differentiation|Th17 cell differentiation|Toxoplasmosis|Tuberculosis|Type I diabetes mellitus|Viral myocarditis	0.0144569462958223|0.0607122627626137|1.11801623743252e-10|1.28451432551591e-11|2.37588124345842e-11|1.30902808838893e-09|1.51121808333394e-06|0.0288720523416774|0.132281109386962|7.01845072207601e-08|0.105199296533659|1.97489602098419e-10|9.63499984129826e-08|0.000111134789318248|0.0635979186951827|0.215579523037839|1.99503824893479e-06|5.71551714155567e-09|4.55517492614871e-06|6.3415393019069e-10|1.44034766295884e-08|6.10366162311754e-09|0.00992558881496355|0.0144569462958223|0.146305091401999|6.1745379150181e-08|7.89175931570698e-09|8.4261688347424e-07|6.66416712420836e-08|1.90122150646407e-07|2.7684318247884e-07|6.16700157642901e-06|2.81478148670078e-10|2.84854008985868e-09	0.115232122591671|0.116002141856372|2.52352236449054e-08|4.05906526863028e-09|6.2564872744405e-09|1.88024034514046e-07|7.70233732796007e-05|0.115232122591671|0.13841334624596|4.62048005870004e-06|0.125105764779263|3.90041964144377e-08|6.0893198997005e-06|0.0045023837723803|0.116483782209881|0.218764063198321|9.85050135411555e-05|6.23627019200615e-07|0.000217267112174497|1.00196320970129e-07|1.19776279340788e-06|6.23627019200615e-07|0.115232122591671|0.115232122591671|0.151383133212285|4.43444086624027e-06|7.33469395224531e-07|4.43778225296433e-05|4.57799306793444e-06|1.11256665933823e-05|1.56218652970202e-05|0.00027839607116451|4.94150527665248e-08|3.46207180152055e-07
TAD1201	Biosynthesis of unsaturated fatty acids|Fatty acid elongation|Parathyroid hormone synthesis, secretion and action	0.0137735480687726|0.0137735480687726|0.0532575494236703	0.115232122591671|0.115232122591671|0.115232122591671
TAD1216	Vitamin digestion and absorption	0.00614319915932393	0.114016399159268
TAD1217	Vitamin digestion and absorption	0.00614319915932393	0.114016399159268
TAD1230	Amino sugar and nucleotide sugar metabolism|PPAR signaling pathway|Pyruvate metabolism	0.0303928568230681|0.0465443318541175|0.0247512476856631	0.115232122591671|0.115232122591671|0.115232122591671
TAD1234	Aminoacyl-tRNA biosynthesis|Autoimmune thyroid disease|Neuroactive ligand-receptor interaction|Ovarian steroidogenesis|Prolactin signaling pathway|Regulation of lipolysis in adipocytes	0.112222886339525|0.0910890764344274|0.12091754646923|0.0844929766334177|0.118633216577788|0.0943705521865562	0.126450006764748|0.122358683260164|0.129771183839744|0.119543551774631|0.129269298064073|0.122706681526324
TAD1251	Protein export|Protein processing in endoplasmic reticulum|Terpenoid backbone biosynthesis	0.0175635136826847|0.120404458325026|0.0168052658157046	0.115232122591671|0.129771183839744|0.115232122591671
TAD1266	Terpenoid backbone biosynthesis	0.0333407454300914	0.115232122591671
TAD127	Propanoate metabolism|Starch and sucrose metabolism|Valine, leucine and isoleucine degradation	0.0442304700636279|0.0496323653673552|0.0656719472790714	0.115232122591671|0.115232122591671|0.116636733975924
TAD1290	Mitophagy	0.0247890941094617	0.115232122591671
TAD1293	Other glycan degradation|Peroxisome	0.0183166078423063|0.0820395089081457	0.115232122591671|0.119543551774631
TAD1294	Other glycan degradation|Peroxisome	0.0205837750297372|0.0918150696934448	0.115232122591671|0.122358683260164
TAD1304	One carbon pool by folate	0.0152873069732901	0.115232122591671
TAD1310	Cell adhesion molecules (CAMs)|Leukocyte transendothelial migration	0.12310668547818|0.096297003824133	0.13010818869455|0.122935610123605
TAD135	Basal transcription factors	0.0778524501891508	0.119065388244818
